sent,label
"great music service, the audio is high quality and the app is easy to use. also very quick and friendly support.",positive
please ignore previous negative rating. this app is super great. i give it five stars+,positive
"this pop-up ""get the best spotify experience on android 12"" is too annoying. please let's get rid of this.",negative
really buggy and terrible to use as of recently,negative
dear spotify why do i get songs that i didn't put on my playlist??? and why do we have shuffle play?,negative
the player controls sometimes disappear for no reason. app restart forgets what i was playing but fixes the issue.,negative
i love the selection and the lyrics are provided with the song you're listening to!,positive
"still extremely slow when changing storage to external sd card.. i'm convinced this is done on purpose, spotify knows of this issue and has done nothing to solve it! over time i have changed sd cards, each being faster in read, write speeds(all samsung brand). and please add ""don't like song"" so it will never appear again in my searches or playlists.",negative
"it's a great app and the best mp3 music app i have ever used but there is one problem that, why can't we play some songs or find some songs? despite this the app is wonderful i recommend it. it's just the best.",positive
"i'm deleting this app, for the following reasons: this app now has a failing business model. whether streaming services like it, or not: the consumer doesn't want to pay for music they can't fully own, and 6 ads successively, upon logging in, before a single song, is too much. closed the app during ad number 6, and i'm more patient than most. if those are the only ways you can profit: you've already peaked. all that's left is your decline.",negative
can't play spotify when on wifi,negative
"i had amazon premium music family package and it was good. everyone could listen to whatever they liked on their respective alexas in their rooms by just asking to play, no problem. we now have spotify premium family and the alexa integration is poor. it just doesn't like spotify. it just stops playing all of the time , you can't play on different alexa devices at the same time just by asking. why isn't the integration better?",negative
worst app always says i'm offline and never showed any song or podcast,negative
i hav any music that i like it is superðÿ™œ,positive
"improve the ia to recommend songs and to find similar songs and it'll be the best music app, youtube is better on that, on everything else, spotify is the king!",positive
"android user - there are loads of glitches with this app... player bar disappears, shuffle button missing....sort it out please",negative
i can't listen to my downloaded playlist while i'm offline. so what's the point of this feature? disappointed..,negative
it always crashing down; unable to play and just stop working everytime i use it,negative
i know ads are the cost to free use and yes thats all right but 3 ads straight back to back like for 1 and a hlaf minutes sometimes don't you think that's a little much ? and even the volume increases just for the ads.,negative
"this will always be my favorite platform to listen to music on. i don't like to subscribe to alot of things, but this one is a must have.",positive
his voice is so sweet and hearable,positive
"i logged out on my acc but when i tried to open it to log in, it won't open.. all i see is the logo",negative
"usually i love the app, but i'm having the same problems everyone else is reporting. random pauses, stops playing and doesn't restart, and currently i can't view the song or podcast i'm currently playing so i can't pause or skip back and forth. it's fairly unusable at this stage which isn't acceptable for a paid service.",negative
an amazing music experience,positive
like that is has everything i like to listen to. and with no commercial even better. even the more like this are songs i've been wanting and not knowing the name brought some out! thanks spotify!,positive
jammin' up in hyuh! old school hardcore and thrash i haven't heard in years. return to my youth? yes please !,positive
cant listen to downloaded stuff when offline,negative
why this app show no internet available when both phone and wifi data is working. i already fred up with adds now this happens all the time i want to search for song.,negative
everything is perfect... just add light theme,positive
no option to delete a song on an album. no option to download one track on an album and no option to shuffle all your music library without creating a playlist or liking all your music.,negative
the best music app ever i have seen,positive
"wow!! ....all of a sudden my login doesn't work. even though i'm 100% positive it is correct. this morning my app asks me to login? why? this hasn't happened before, so obviously you are having some problems. just found an email in my account telling me to change my password because of 'suspicious behaviour'.... yeah because logging into spotify on my xbox is suspicious!? thanks for the stress this morning, didn't need that. i won't be renewing....my way of teaching you a lesson.",negative
am unable to use on my ph .....it gets downloaded but unable to log in,negative
plz remove adds as because ther are continuously 2 to 3 adds at list remove 2 adds and give 1 adds,negative
"liked songs play offline , helps with signal problems",negative
sometimes i try and listen to a playlist and it will play the same first song and i try to go to a different one and it goes back to the same first one... little weird.,negative
good app for listening music..,positive
"no commercials, and no adds no need for wifi it can use the satellite radio station to pick up or at least that's how it looks",negative
wide range of songs collection,positive
"what's the deal here? compared to the desktop version, this is inferior to it! why is the ability to play any songs so bare or if not, barely free? is there more that need to be said about this? i think i made my point clear enough!",negative
spotify is awesome! i love having any obscure artist i can think of at my fingertips as well as easy access to newer things! update: lost a star for constantly asking for a review i've already done.,positive
best app to stream music!,positive
"my account was glitching so i logged out to try and fix it but now it won't let me log back in, it only shows the logo but never the sign in screen",negative
"everything i go to open the app in the last week, there's no play bar, and now when i go to open it, it just shuts right back down.",negative
lost download button. can't download playlists.,negative
love this app. the style of music selection is more specific.,positive
pretty good apps for better quality musics,positive
the videoke feature doesn't show in my device until now,negative
love most of the features in the app but one thing is a bit expensive at each month subcription for $9.90,negative
podcasts becoming a nightmare. trying to get rid of podcasts on this app is ridiculous. stupid things are all over the home page. you can click not interested till you're blue in the face and i'll just keep throwing up more spam casts.,negative
best birthday present i have ever received from my baby brother! i listen to something at least everyday. so happy of the selection of christian artists and music. love finding new artists. let just listening to great podcasts. thank you so much for such a wonderful app!,positive
the only downside is they rotate songs in and out so one month you can listen to that great song next month maybe not.,negative
the sound quality is really good and i can listen to my favourite songs anytime and anywhere without any disturbance. that's really good experience ðÿ‘ i loved this app alot. keep providing us the best service ðÿ‘ðÿ‘,positive
keeps cutting out and not showing what song is playing,negative
as a paying customer there is nothing i can say about spotify. it is perfecto.,positive
so much adds like i get 6 adds before i start a song and you need premium just play a song itself.,negative
"exceptional application for online songs. i loved the option of merging the app with inter music player of samsung. overall, application works flows less.",negative
spotify is better than joox fosho,positive
"since disney started to pay for ads for disney+, the non-premium version of spotify became useless because after 1 or 2 songs you get at least 2 ads, one or two from disney+ and sometimes one more. i will change my review if i won't get so many ads.",negative
why dose the go from playing liked songs to songs that you haven't even looked at that's what it's getting three stars,negative
it's great for listening to your favorite artists,positive
trash app. can't even log in via fb account.,negative
"this app is incredible. it's very very good to use and i am enjoying my music everyday, every minute and every seconds. i love it.",positive
"this app is so good and cool i am very interested to this app i loved it so much iam listening every day and night spotify i am full supporting this app i suggested to try this app and do fun with spotify and i just say try spotify try it now and and are you a army , a blink so this app is very good for you armies and blinks and today is very special day for armies this is a army day love you armies love you blinks and i am so happy to this app spotify try spotif love you spotify ðÿ˜šðÿ˜šðÿ˜šðÿ˜ðÿ˜ðÿ˜ðÿ˜",positive
"it was good at first, but it wouldnt let me pick a song and it had forced me to listen to an entire playlist to get to my fav song because they limited it to 6 skips per hour, why are you limiting skiping songs?",negative
"i love it soo much and i will rate it a 4 star, the problem is that there are constant ads, and the singing option near the lyrics doesn't seem to appear for me anymore",negative
"would rate it 5. but whenever, i play something on my playlist it changes to a different song and not my playlist . i hope this get fixed soon.",negative
"love the app... a few small issues though.. 1. i find a song and add to liked, then look for the same song and it takes me to a whole different playlist please fix.",positive
too much and too long ads.,negative
"i didn't really like the app. whenever i play a song, it just plays a different one.",negative
"had no issues with this app for years being a premium user but now really struggling with it. as someone else said before, there is now no player so can't skip, pause etc. not sure if this is because i'm on a samsung galaxy? as it does come back briefly if i restart my phone ðÿ¤·â€â™€ï¸",negative
"just bring back the ""shuffle all"" albums option. ðÿ¤¦ðÿ¾â€â™‚ï¸",positive
quality sound and selection. but they're adds are louder than the music sometimes.,positive
it always stuck at black screen,negative
great music quality,positive
i love to hear ads ðÿ˜œâ¤its so satisfying.... but sometimes musics play and interrupt the ads ðÿ˜”....i request to fixed this problem.... so i enjoy ads peacefully.... great appðÿ™ðÿ˜š,positive
"first time user, so far easy enough to navigate.",positive
i will give less than one star the app plays too many adds after each and every song as i have not purchased premium this gives too many adds which irritate a lot in your mood.,negative
awesome but some songs i can't find,positive
"i really like spotify, i don't have proplem with ads but shuffle and only 6 skips per hour is sooooo annoying! i neither want to pay for spotify premium nor switch to another app, and this makes spotify really hard to use.",negative
work really well with android auto on those long drives home.,positive
please turn off shuffle play!!!,negative
"its good but when u want to play a song , they give other songs yo listen to instaed of the song and sometimes when u trying to get to the song the skips are limited .it has the same effect on the playlist u cant enjoy ur song without other songs interfering and eepecially adding songs u dont like to ur playlist",positive
in the middle of songs its pauses and then restarts the whole song. you have to go into the app and play the song again.,negative
"very glitchy, audio randomly drops out or stops playing. control bar disappears from the bottom of the screen and unable to pause, stop or skip audio without closing out of the app.",negative
i hate this if i have spotify free i can only listen to the half of the song on mobile hate this f#$ã— u,negative
"i uninstalled this app because i don't have any use for it anymore and as soon as i did that, the ads for it appeared on youtube videos just how freaking desperate do you have to be to promote it this much please buzz off",negative
"i love spotify, i listen more and more, music an podcasts. we have a premium account, it's worth every penny.",positive
"what the hell? i'm having the same issue as ""the patoto man"", minus random songs being added. i can't even choose any song at all that i want to play. i can't view them properly, i can't play them directly and it only starts a 10 second snippet of the song. i can't even listen to any music i want, and can't even have playlists play the music i want. and the big one, it all seems to just be a samsung/ google play store issue. i can play just fine on apple mobile devices like ipads.",negative
this app is good but fixe it i can't sign in,negative
"dude the app is good and all but just today i was using it and later in the day i check it and it won't let me play my playlist, and random songs are added toy playlist i can't even select a song i want to play i can only listen to it for a short period of time, and it says ""you added"" in your playlist and then bottom part says ""we added"" i don't know what to do i just want to listen to the full songs without random bots adding random songs that i don't even like and have any interest.",negative
i love spotify just wish i can download music,positive
it's awesome and great music app,positive
works super well.... when it works... the app doesnt seem to want to load 3/4ths of the time. ultra laggy. locks up my phone occationally... makes no sense. otherwise. features are plentiful and you can find most anything.,negative
i can't even listen to my favorite songs bc of the shuffle and i tried different accounts and it doesn't even change even a little,negative
it does'nt let you choose your songs,positive
the load time is wonderful and very short and you don't have to wait long to hear the next best thing.,positive
"i love listening to music (i use it as a coping mechanism), so i love spotify so much too. but, about 3 days ago (?), my spotify wouldn't load, it would just stay on the spotify logo screen thing. tried installing it and uninstalling it for 5 times, restarted my phone 2 times, cleared the cache/data for about 8 times, and i still can't open it (also waited for an hour for it to load).",negative
"used to be good. it dont let me play my playlists, pause, stop, start and go back a track from my phone (samsung). i emailed spotify and asked help from a member but nothings working.",negative
"for an app that has been available for 8 years, the amount of issues i have is frustrating. like some other say, it stops playing randomly while in the background, even though i allow background data use and all that. at times while running in the background, the app dissappears from my toolbar and i have to open it independently, then i have no way to click on what is playing at the bottom so i must force close it.",negative
i really enjoy my music life nice app thanks for spotify,positive
i cant open the app. it's been 2 days please fix this.,negative
it's not that bad but why can't i just directly play the song i pressed on?,negative
love spotify great for all the family,positive
"this app worked well until v8.6.98.900, when trying to install newer versions of the app, my pioneer car system wouldn't work with spotify anymore. this means that i have to upgrade all my apps manually to be able to keep the last working version of their app. hope spotify will fix their broken app soon.",negative
"i use to love this app, but i soon hated it because it keeps on playing music and other songs that isn't on my playlists or my liked songs, i've turned off the option for it to do that ( play similar songs when your playlists ends. something like that ) but it doesn't work, i don't recommend.",negative
excellent music experience,positive
this is an amazing app i use it all the time and it's very affordable. if you are looking for a app to lift your mood spotify it the one you go for.,positive
spotify has literally accounted for everything when it comes to your best music experience. it's so easy to use but there's still so many features and i honestly didn't realize how much i needed it until i got it. would recommend above apple music as it's more aesthetically pleasing and has way better features. get spotify!!! (i do have premium) but even with ads it's still good.,positive
sometimes it is not working,negative
very annoying and disturbing,negative
good audio play experience with spotify.,positive
the best music app till now ...,positive
i hate ads and they do send work 1 month free premium (super upp),negative
i have gotten 10 ads in a row trying to listen to a single song. the ads were longer then the sond,negative
"i have used this app for the last 2 years straight, always use premium, it's an essential",positive
"app stuck on loading black screen with spotify logo, restarted, reinstalled, no luck! using note 20 ultra",negative
"2022.07.08 would like to be able to save queue as playlist. would like to be able to scroll back in queue an arbitrary number of titles. when playlist is playing, be able to add songs to queue, rearrange playlist sequence, and ""save changes to playlist?"" prompt at end of playlist... ðÿ¤·â€â™‚ï¸",negative
"worst app for music,so many ads.",negative
best song app all over,positive
"i love ðÿ’“ this app . it has ads but not that level, that's the reason. and you can choose your favorite artist. you can enjoy different playlist in just 28 mb. and resso use 68 mb. so i prefer spotify.",negative
nice music quality,positive
umm... lately there is auto pausing problem when the screen locks hope it will fix soon,negative
amazing songs and artists!!! great app 10/10 review!!,positive
"not bad but not good. i wanted to listen to a song that i like but suddenly it played a different song. i tried adding my fav songs to my playlist but it played a song that i did not add on my playlist. well, that's okay.",negative
"i absolutely love spotify and i'm obsessed with music, but i only rated it 4 starts for a reasom. ok so basically my spotify was doing this weird thing it like had only one song in all my playlist and literally nothing would play, and i had no idea how to fix. and whats weird is that it would work on my other devices with my spotify account just not on my phone. so it might be my phone but idk. and another thing it does is it just randomly kicks me out of the app sometimes. well thats all i have",negative
i really love it my favorite thing about this app is the lyrics ðÿ˜ it's amazing i love singing along with my favorite songs ðÿžµ ðÿ’•,positive
best music app....best collections.....they wil create playlists specially for youu...i loved it best app ever,positive
nice app but the ads is very disturbing,negative
stopped working this morning for some reason.,negative
how long will it take to fix the payment option. being on the free plan is not a nice experience. i want to get back on premium but its failed now for the 2nd month.,negative
this is nice app i love spotify,positive
having streaming trouble with new update. skipping of audio and app crashes,negative
"easy play, and all singers and songs i wanted is here.thank you",positive
it's a amazing app but if it has been an option to download songs it's completely fantasy,positive
the recommendations are always for popular stuff no matter what you listen to. worst recommendations of all time. there is little to no effort put into these. if you made a playlist exclusively with 90's norwegian death metal this dumb app would trip over it's dick racing to suggest island in the sun by weezer. the now playing bar only exists most of the time making it almost impossible to use without restarting your phone,negative
i'm speechless this app is amazing.,positive
i cant open the app ðÿ˜­ i've tried deleting it and restarting my phone someone help,negative
