sent,label
"great music service, the audio is high quality and the app is easy to use. also very quick and friendly support.",1
please ignore previous negative rating. this app is super great. i give it five stars+,1
"this pop-up ""get the best spotify experience on android 12"" is too annoying. please let's get rid of this.",-1
really buggy and terrible to use as of recently,-1
dear spotify why do i get songs that i didn't put on my playlist??? and why do we have shuffle play?,-1
the player controls sometimes disappear for no reason. app restart forgets what i was playing but fixes the issue.,-1
i love the selection and the lyrics are provided with the song you're listening to!,1
"still extremely slow when changing storage to external sd card.. i'm convinced this is done on purpose, spotify knows of this issue and has done nothing to solve it! over time i have changed sd cards, each being faster in read, write speeds(all samsung brand). and please add ""don't like song"" so it will never appear again in my searches or playlists.",-1
"it's a great app and the best mp3 music app i have ever used but there is one problem that, why can't we play some songs or find some songs? despite this the app is wonderful i recommend it. it's just the best.",1
"i'm deleting this app, for the following reasons: this app now has a failing business model. whether streaming services like it, or not: the consumer doesn't want to pay for music they can't fully own, and 6 ads successively, upon logging in, before a single song, is too much. closed the app during ad number 6, and i'm more patient than most. if those are the only ways you can profit: you've already peaked. all that's left is your decline.",-1
can't play spotify when on wifi,-1
"i had amazon premium music family package and it was good. everyone could listen to whatever they liked on their respective alexas in their rooms by just asking to play, no problem. we now have spotify premium family and the alexa integration is poor. it just doesn't like spotify. it just stops playing all of the time , you can't play on different alexa devices at the same time just by asking. why isn't the integration better?",-1
worst app always says i'm offline and never showed any song or podcast,-1
i hav any music that i like it is superðÿ™œ,1
"improve the ia to recommend songs and to find similar songs and it'll be the best music app, youtube is better on that, on everything else, spotify is the king!",1
"android user - there are loads of glitches with this app... player bar disappears, shuffle button missing....sort it out please",-1
i can't listen to my downloaded playlist while i'm offline. so what's the point of this feature? disappointed..,-1
it always crashing down; unable to play and just stop working everytime i use it,-1
i know ads are the cost to free use and yes thats all right but 3 ads straight back to back like for 1 and a hlaf minutes sometimes don't you think that's a little much ? and even the volume increases just for the ads.,-1
"this will always be my favorite platform to listen to music on. i don't like to subscribe to alot of things, but this one is a must have.",1
his voice is so sweet and hearable,1
"i logged out on my acc but when i tried to open it to log in, it won't open.. all i see is the logo",-1
"usually i love the app, but i'm having the same problems everyone else is reporting. random pauses, stops playing and doesn't restart, and currently i can't view the song or podcast i'm currently playing so i can't pause or skip back and forth. it's fairly unusable at this stage which isn't acceptable for a paid service.",-1
an amazing music experience,1
like that is has everything i like to listen to. and with no commercial even better. even the more like this are songs i've been wanting and not knowing the name brought some out! thanks spotify!,1
